Category: All categories

Day,bitcoin: (Worldwide)
2017-10-24,15
2017-10-25,13
2017-10-26,13
2017-10-27,11
2017-10-28,10
2017-10-29,11
2017-10-30,12
2017-10-31,14
2017-11-01,18
2017-11-02,24
2017-11-03,21
2017-11-04,17
2017-11-05,16
2017-11-06,17
2017-11-07,16
2017-11-08,18
2017-11-09,17
2017-11-10,20
2017-11-11,19
2017-11-12,24
2017-11-13,21
2017-11-14,16
2017-11-15,17
2017-11-16,17
2017-11-17,20
2017-11-18,15
2017-11-19,15
2017-11-20,19
2017-11-21,20
2017-11-22,17
2017-11-23,16
2017-11-24,15
2017-11-25,16
2017-11-26,24
2017-11-27,33
2017-11-28,37
2017-11-29,61
2017-11-30,50
2017-12-01,37
2017-12-02,30
2017-12-03,30
2017-12-04,34
2017-12-05,35
2017-12-06,48
2017-12-07,95
2017-12-08,86
2017-12-09,58
2017-12-10,54
2017-12-11,62
2017-12-12,58
2017-12-13,53
2017-12-14,46
2017-12-15,42
2017-12-16,41
2017-12-17,47
2017-12-18,47
2017-12-19,50
2017-12-20,70
2017-12-21,52
2017-12-22,100
2017-12-23,61
2017-12-24,47
2017-12-25,41
2017-12-26,40
2017-12-27,38
2017-12-28,38
2017-12-29,33
2017-12-30,33
2017-12-31,27
2018-01-01,26
2018-01-02,31
2018-01-03,31
2018-01-04,30
2018-01-05,30
2018-01-06,26
2018-01-07,26
2018-01-08,30
2018-01-09,28
2018-01-10,29
2018-01-11,33
2018-01-12,27
2018-01-13,23
2018-01-14,21
2018-01-15,22
2018-01-16,43
2018-01-17,58
2018-01-18,40
2018-01-19,30
2018-01-20,24
2018-01-21,22
2018-01-22,26
